student_id,fee_submission_date,amount
1,2023-10-10,4456
1,2024-03-07,1195
1,2023-06-07,1776
2,2024-09-12,3034
2,2024-06-15,1412
2,2023-08-11,3970
3,2023-01-23,2623
4,2024-05-15,1038
4,2022-11-13,3964
4,2024-09-11,2390
5,2023-06-15,4091
5,2022-12-30,2024
5,2023-11-11,4166
6,2024-01-06,694
6,2023-02-16,3526
6,2023-04-01,2371
7,2022-06-24,2860
7,2023-12-06,2475
8,2024-09-25,3590
8,2024-06-15,4919
9,2023-06-20,2796
9,2024-01-27,1809
10,2024-05-03,2919
10,2022-01-05,4644
11,2022-12-27,2375
11,2023-04-05,3046
12,2022-12-27,1957
12,2023-02-26,1044
13,2022-10-13,2650
14,2022-06-30,1805
14,2023-05-16,3374
14,2022-02-24,898
15,2023-10-05,600
15,2022-09-10,2107
16,2023-08-24,1769
16,2024-10-14,927
16,2023-07-29,3325
17,2023-06-27,4205
18,2022-07-27,2426
18,2024-04-17,3241
18,2022-04-16,780
19,2022-07-19,3175
19,2022-12-04,1428
20,2022-06-12,1321
20,2022-08-11,2217
21,2023-04-26,915
21,2024-07-14,4790
21,2024-01-04,2365
22,2024-05-28,617
22,2022-06-25,1801
23,2023-01-12,3887
24,2023-04-21,3732
24,2024-07-10,3933
24,2022-10-05,3269
25,2023-05-26,4301
26,2023-09-30,1041
27,2022-01-10,2064
27,2024-04-12,3478
28,2022-04-12,2037
28,2023-01-27,4487
28,2024-03-02,4855
29,2023-05-01,3443
29,2023-02-01,4209
29,2022-05-04,2653
30,2023-01-22,1278
31,2024-03-25,1878
31,2022-01-16,1929
32,2023-01-24,699
32,2024-12-03,2994
33,2022-06-23,1242
34,2022-03-11,1716
35,2022-03-24,2854
36,2023-01-17,3589
37,2021-12-13,3392
37,2022-06-12,880
38,2023-08-26,1898
39,2022-12-09,3274
40,2023-07-24,4316
41,2024-03-20,4784
41,2023-01-31,1570
42,2024-09-21,3342
42,2024-02-26,1325
43,2022-02-15,2256
43,2022-10-29,3626
44,2022-09-28,2238
44,2024-09-04,1602
45,2023-05-02,4922
45,2022-08-08,3113
46,2023-02-16,1051
46,2023-03-03,1257
47,2023-11-20,2626
48,2021-12-17,4983
48,2024-08-23,872
48,2024-01-30,1330
49,2024-03-11,1394
50,2024-05-08,3243
51,2023-03-16,2781
51,2022-07-20,2540
52,2022-03-07,2418
53,2024-08-31,1501
54,2024-10-29,4775
54,2024-11-30,1963
54,2022-09-06,2402
55,2023-03-09,4450
55,2024-07-18,3268
55,2024-11-18,1786
56,2023-03-04,4470
56,2024-11-07,2353
57,2024-07-15,3196
57,2024-03-20,4884
58,2022-10-09,2911
59,2023-07-17,3856
59,2024-03-26,1389
59,2024-01-22,4346
60,2022-10-08,4513
60,2024-01-06,4164
60,2024-06-12,2910
61,2024-01-20,4243
61,2022-08-09,2971
62,2022-12-28,2323
63,2023-08-23,3580
64,2022-11-01,1939
65,2022-08-19,1435
65,2023-09-02,1155
66,2022-07-28,2400
66,2024-11-07,3568
67,2023-08-27,3288
67,2023-08-31,875
68,2023-07-29,2253
68,2022-07-23,921
68,2023-07-23,4146
69,2022-02-21,3236
69,2024-03-20,1099
70,2023-10-21,2007
70,2024-03-19,593
71,2024-09-09,2637
71,2023-10-27,4130
71,2023-06-06,1746
72,2024-04-22,3734
73,2024-08-12,2940
73,2022-12-29,3566
74,2022-02-25,4126
74,2023-04-25,4137
75,2023-09-09,4263
75,2023-06-04,4257
75,2022-02-17,2900
76,2023-09-30,3458
76,2023-05-29,3543
76,2023-01-10,1936
77,2023-10-04,1099
78,2024-03-11,2741
78,2022-10-14,1202
79,2022-12-25,563
79,2022-08-16,656
79,2022-11-02,2087
80,2021-12-16,3355
81,2024-01-05,3153
82,2021-12-12,826
83,2023-08-23,713
83,2022-02-28,3002
84,2024-07-08,1201
85,2024-03-30,2996
86,2023-03-10,3816
87,2024-08-20,675
87,2022-12-03,4053
88,2023-10-26,2440
88,2024-05-04,1792
89,2024-04-17,3284
89,2022-04-20,3549
89,2023-04-14,4556
90,2022-07-26,4202
90,2023-07-07,1357
91,2024-04-12,2250
91,2024-12-06,3919
91,2022-04-19,2755
92,2022-02-11,537
93,2022-08-18,4957
93,2022-08-29,2866
94,2023-04-22,2165
94,2023-04-03,3051
95,2024-08-13,770
95,2024-05-02,3845
95,2024-07-06,3730
96,2023-11-25,1330
97,2023-09-02,3337
97,2022-07-29,4457
98,2023-12-29,4600
98,2024-11-23,1020
99,2024-06-29,4623
100,2023-02-02,2320
100,2023-11-13,2376
100,2024-05-05,3170
